Target,template,EF1%,EF5%
ADRB2,3p0g,0.0,0.0
ADRB2,3pds,0.0,0.0
ADRB2,3sn6,0.0,0.0
ADRB2,4lde,0.0,2.2222222222222223
ADRB2,4ldl,0.0,1.1111111111111112
ADRB2,4ldo,0.0,2.2222222222222223
ADRB2,4qkx,11.11111111111111,4.444444444444445
ADRB2,6mxt,11.11111111111111,2.2222222222222223
ALDH1,4wp7,1.2974330357142856,1.1216517857142858
ALDH1,4wpn,1.1439732142857142,1.166294642857143
ALDH1,4x4l,1.0881696428571428,1.09375
ALDH1,5ac2,1.3253348214285714,1.1356026785714286
ALDH1,5l2m,1.3671874999999998,1.185825892857143
ALDH1,5l2n,1.2137276785714284,1.0993303571428572
ALDH1,5l2o,1.5066964285714284,1.2360491071428572
ALDH1,5tei,1.2974330357142856,1.263950892857143
ESR1_ago,1l2i,0.0,1.5384615384615383
ESR1_ago,2b1v,0.0,1.5384615384615383
ESR1_ago,2b1z,0.0,0.0
ESR1_ago,2p15,0.0,0.0
ESR1_ago,2q70,0.0,1.5384615384615383
ESR1_ago,2qr9,0.0,0.0
ESR1_ago,2qse,7.692307692307692,4.615384615384615
ESR1_ago,2qzo,0.0,1.5384615384615383
ESR1_ago,4ivw,0.0,1.5384615384615383
ESR1_ago,4pps,0.0,0.0
ESR1_ago,5drj,0.0,0.0
ESR1_ago,5du5,7.692307692307692,1.5384615384615383
ESR1_ago,5due,7.692307692307692,1.5384615384615383
ESR1_ago,5dzi,0.0,0.0
ESR1_ago,5e1c,0.0,0.0
ESR1_ant,1xp1,6.862745098039215,2.5490196078431375
ESR1_ant,1xqc,1.9607843137254901,1.7647058823529413
ESR1_ant,2ayr,4.901960784313726,2.1568627450980395
ESR1_ant,2iog,4.901960784313726,3.1372549019607847
ESR1_ant,2iok,3.9215686274509802,2.1568627450980395
ESR1_ant,2ouz,3.9215686274509802,1.7647058823529413
ESR1_ant,2pog,2.941176470588235,2.1568627450980395
ESR1_ant,2r6w,0.9803921568627451,1.5686274509803924
ESR1_ant,3dt3,1.9607843137254901,2.1568627450980395
ESR1_ant,5aau,2.941176470588235,2.1568627450980395
ESR1_ant,5fqv,0.9803921568627451,2.3529411764705883
ESR1_ant,5t92,3.9215686274509802,1.7647058823529413
ESR1_ant,5ufx,1.9607843137254901,0.9803921568627452
ESR1_ant,6b0f,4.901960784313726,3.5294117647058827
ESR1_ant,6chw,2.941176470588235,1.7647058823529413
FEN1,5fv7,2.710027100271003,1.1924119241192412
GBA,2v3d,3.0120481927710845,2.048192771084337
GBA,2v3e,1.8072289156626506,2.2891566265060237
GBA,2xwd,6.024096385542169,2.7710843373493974
GBA,2xwe,2.4096385542168677,1.9277108433734937
GBA,3rik,1.2048192771084338,0.7228915662650601
GBA,3ril,1.8072289156626506,1.4457831325301203
IDH1,4i3k,0.0,0.5128205128205129
IDH1,4i3l,0.0,0.0
IDH1,4umx,0.0,0.0
IDH1,4xrx,0.0,0.0
IDH1,4xs3,2.564102564102564,1.0256410256410258
IDH1,5de1,0.0,0.0
IDH1,5l57,5.128205128205128,1.5384615384615385
IDH1,5l58,0.0,0.5128205128205129
IDH1,5lge,0.0,1.0256410256410258
IDH1,5sun,0.0,0.0
IDH1,5svf,0.0,0.0
IDH1,5tqh,0.0,0.5128205128205129
IDH1,6adg,0.0,0.0
IDH1,6b0z,0.0,0.5128205128205129
KAT2A,5h84,1.0309278350515465,0.9278350515463918
KAT2A,5h86,0.5154639175257733,0.6185567010309279
KAT2A,5mlj,0.5154639175257733,1.0309278350515465
MAPK1,1pme,1.2987012987012987,1.4285714285714286
MAPK1,2ojg,1.948051948051948,1.4285714285714286
MAPK1,3sa0,0.3246753246753247,0.7792207792207793
MAPK1,3w55,1.2987012987012987,1.2337662337662338
MAPK1,4qp3,2.2727272727272725,1.4935064935064934
MAPK1,4qp4,1.6233766233766234,1.4935064935064934
MAPK1,4qp9,1.2987012987012987,1.4285714285714286
MAPK1,4qta,1.2987012987012987,1.3636363636363635
MAPK1,4qte,0.974025974025974,1.5584415584415585
MAPK1,4xj0,1.6233766233766234,1.2987012987012987
MAPK1,4zzn,1.2987012987012987,1.2987012987012987
MAPK1,5ax3,0.3246753246753247,0.7792207792207793
MAPK1,5buj,1.2987012987012987,1.5584415584415585
MAPK1,5v62,1.6233766233766234,1.4935064935064934
MAPK1,6g9h,1.2987012987012987,1.8181818181818181
MTORC1,1fap,2.061855670103093,1.0309278350515465
MTORC1,1nsg,2.061855670103093,2.2680412371134024
MTORC1,2fap,2.061855670103093,0.8247422680412372
MTORC1,3fap,5.154639175257732,1.6494845360824744
MTORC1,4drh,2.061855670103093,1.0309278350515465
MTORC1,4dri,1.0309278350515465,1.0309278350515465
MTORC1,4drj,2.061855670103093,1.2371134020618557
MTORC1,4fap,3.0927835051546393,1.2371134020618557
MTORC1,4jsx,0.0,0.8247422680412372
MTORC1,4jt5,2.061855670103093,0.8247422680412372
MTORC1,5gpg,5.154639175257732,1.8556701030927836
OPRK1,6b73,0.0,0.8333333333333334
PKM2,3gqy,2.93040293040293,2.1978021978021975
PKM2,3gr4,1.6483516483516483,2.271062271062271
PKM2,3h6o,2.380952380952381,2.087912087912088
PKM2,3me3,2.5641025641025643,1.7582417582417582
PKM2,3u2z,1.8315018315018314,1.9047619047619047
PKM2,4g1n,0.5494505494505495,1.1721611721611722
PKM2,4jpg,1.465201465201465,1.8315018315018314
PKM2,5x1v,2.0146520146520146,1.6117216117216118
PKM2,5x1w,2.197802197802198,1.3553113553113554
PPARG,1zgy,7.4074074074074066,2.962962962962963
PPARG,2i4j,0.0,0.0
PPARG,2p4y,3.7037037037037033,0.7407407407407407
PPARG,2q5s,7.4074074074074066,5.185185185185185
PPARG,2yfe,14.814814814814813,5.185185185185185
PPARG,3b1m,0.0,2.962962962962963
PPARG,3hod,3.7037037037037033,1.4814814814814814
PPARG,3r8a,3.7037037037037033,4.444444444444444
PPARG,4ci5,3.7037037037037033,2.222222222222222
PPARG,4fgy,0.0,2.222222222222222
PPARG,4prg,0.0,2.222222222222222
PPARG,5tto,0.0,2.962962962962963
PPARG,5two,3.7037037037037033,2.962962962962963
PPARG,5y2t,3.7037037037037033,2.962962962962963
PPARG,5z5s,0.0,4.444444444444444
TP53,2vuk,1.2658227848101264,1.2658227848101264
TP53,3zme,0.0,0.7594936708860759
TP53,4ago,1.2658227848101264,1.2658227848101264
TP53,4agq,2.531645569620253,1.0126582278481011
TP53,5g4o,2.531645569620253,1.5189873417721518
TP53,5o1i,2.531645569620253,0.5063291139240506
VDR,3a2i,0.6787330316742082,0.8144796380090498
VDR,3a2j,1.244343891402715,0.7466063348416289
