Method,Target,EF1% Min,EF1% Max,EF1% Mean,EF1% SD
Our method,ADRB2,0.0,11.11111111111111,2.7777777777777777,5.143444998736396
Our method,ALDH1,1.0881696428571428,1.5066964285714284,1.2799944196428572,0.13166526338593174
Our method,ESR1‐ago,0.0,7.692307692307692,1.538461538461538,3.184917966195481
Our method,ESR1‐ant,0.9803921568627451,6.862745098039215,3.3333333333333326,1.6488585605334944
Our method,FEN1,2.710027100271003,2.710027100271003,2.710027100271003,NaN
Our method,GBA,1.2048192771084338,6.024096385542169,2.710843373493976,1.7355253362515584
Our method,IDH1,0.0,5.128205128205128,0.5494505494505494,1.4844467269790753
Our method,KAT2A,0.5154639175257733,1.0309278350515465,0.6872852233676977,0.29760323154104423
Our method,MAPK1,0.3246753246753247,2.2727272727272725,1.3203463203463202,0.5128676187746252
Our method,MTORC1,0.0,5.154639175257732,2.436738519212746,1.5479529763495843
Our method,OPRK1,0.0,0.0,0.0,NaN
Our method,PKM2,0.5494505494505495,2.93040293040293,1.9536019536019538,0.697415119584607
Our method,PPARG,0.0,14.814814814814813,3.4567901234567895,4.07327232771699
Our method,TP53,0.0,2.531645569620253,1.6877637130801686,1.033539975857881
Our method,VDR,0.6787330316742082,1.244343891402715,0.9615384615384616,0.39994727442678024
